,,Edad del esposo,,,,,,,,,,,,,,
Edad de la esposa,Total,Menos de 20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60 y más,Ignorado,Año,Menos de 15,15-19,18-19
55 - 59,31,0,0,0,0,0,1,2,2,11,10,5,2020,,,
60 y más,34,0,0,0,0,2,0,1,4,2,21,4,2020,,,
Ignorado,1607,0,0,1,8,11,25,20,15,13,10,1504,2020,,,
Todas las edades,5665,,276,638,630,416,278,162,122,82,88,2963,2016,0,10,
Menos de 15,0,,0,0,0,0,0,0,0,0,0,0,2016,0,0,
15 - 19,98,,61,25,5,3,0,0,0,0,0,0,2016,0,4,
20 - 24,536,,177,209,96,29,7,3,3,0,2,6,2016,0,4,
25 - 29,682,,31,294,224,71,23,6,4,2,4,22,2016,0,1,
30 - 34,525,,7,78,202,131,46,9,4,4,1,43,2016,0,0,
35 - 39,347,,0,19,54,108,80,25,4,6,6,45,2016,0,0,
40 - 44,218,,0,5,7,24,68,44,18,6,4,42,2016,0,0,
45 - 49,134,,0,1,5,6,13,30,30,14,12,23,2016,0,0,
50 - 54,71,,0,0,1,1,2,8,24,14,11,10,2016,0,0,
55 - 59,42,,0,0,0,0,2,2,3,12,10,13,2016,0,0,
60 y más,30,,0,0,0,0,0,1,0,4,20,5,2016,0,0,
Ignorado,2982,,0,7,36,43,37,34,32,20,18,2754,2016,0,1,
Todas las edades,8203,,259,965,1106,825,547,284,196,114,125,3781,2019,,,1
18 - 19,39,,17,16,4,2,0,0,0,0,0,0,2019,,,0
20 - 24,633,,172,299,109,35,9,4,4,0,0,0,2019,,,1
25 - 29,1149,,54,490,412,127,31,15,6,3,2,9,2019,,,0
30 - 34,1029,,11,123,439,299,92,23,10,1,5,26,2019,,,0
35 - 39,701,,5,26,93,257,176,47,24,13,7,53,2019,,,0
40 - 44,395,,0,7,24,57,147,63,34,21,8,34,2019,,,0
45 - 49,243,,0,2,4,9,39,74,44,17,17,37,2019,,,0
50 - 54,109,,0,0,0,2,3,14,33,16,23,18,2019,,,0
55 - 59,69,,0,0,1,1,2,6,7,23,19,10,2019,,,0
60 y más,44,,0,0,0,0,1,0,2,2,27,12,2019,,,0
Ignorado,3792,,0,2,20,36,47,38,32,18,17,3582,2019,,,0
Todas las edades,9950,2,204,1083,1749,1316,863,576,292,191,200,3474,2022,,,
Menos de 20,9,1,7,1,0,0,0,0,0,0,0,0,2022,,,
20 - 24,581,0,139,286,100,35,8,4,5,2,2,0,2022,,,
25 - 29,1603,1,52,629,672,179,44,12,6,4,4,0,2022,,,
30 - 34,1670,0,4,132,767,528,140,45,16,7,4,27,2022,,,
35 - 39,1062,0,1,24,143,399,285,97,21,19,16,57,2022,,,
40 - 44,756,0,1,5,36,100,262,198,52,19,20,63,2022,,,
45 - 49,388,0,0,2,19,22,58,122,82,23,24,36,2022,,,
50 - 54,224,0,0,0,4,6,11,36,68,51,24,24,2022,,,
55 - 59,92,0,0,0,1,0,0,5,10,35,27,14,2022,,,
