DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PUEHOM,PUEMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
1,0101,7,2013,13,5,1,0101,56,55,9,4,320,320,9,3,61,NEOG
1,0101,11,2013,15,11,1,0101,61,53,9,9,320,320,9,1,61,NEOG
21,2101,3,2013,21,2,21,2101,999,38,9,9,320,320,9,1,61,NEOG
12,1202,7,2013,31,5,12,1202,37,33,9,9,320,320,9,1,61,NEOG
6,0614,6,2013,19,4,6,0601,52,23,9,4,320,320,9,2,61,NEOG
13,1307,10,2013,6,8,13,1312,23,22,9,9,320,320,9,9,61,NEOG
16,1602,8,2013,10,4,16,1601,44,34,1,1,320,320,9,1,61,NEOG
14,1403,11,2013,30,8,14,1401,28,28,1,1,320,320,9,1,61,NEOG
14,1414,10,2013,29,7,14,1401,26,24,1,1,320,320,9,1,61,NEOG
19,1904,2,2014,27,6,19,1904,999,999,4,4,320,320,9,1,61,NEOG
16,1615,5,2014,24,10,16,1615,46,999,4,9,320,320,9,9,61,NEOG
22,2214,12,2013,12,11,22,2214,45,999,4,9,320,320,9,9,61,NEOG
22,2204,8,2013,15,8,22,2204,71,63,4,4,320,320,9,1,61,NEOG
1,0101,10,2013,10,9,1,0101,58,55,4,4,320,320,9,1,61,NEOG
6,0601,10,2013,9,9,6,0601,49,50,4,4,320,320,9,2,61,NEOG
16,1615,12,2013,9,9,16,1615,54,49,4,4,320,320,9,2,61,NEOG
9,0921,4,2013,1,3,11,1101,42,46,4,4,320,320,9,2,61,NEOG
1,0101,11,2013,17,9,1,0101,43,38,4,4,320,320,9,2,61,NEOG
22,2211,3,2013,4,2,22,2201,38,33,4,4,320,320,9,1,61,NEOG
1,0101,12,2013,24,7,1,0103,31,23,4,4,320,320,9,1,61,NEOG
22,2217,6,2013,5,6,22,2201,38,22,4,4,320,320,9,1,61,NEOG
9,0917,11,2013,18,6,9,0920,27,22,4,4,320,320,9,2,61,NEOG
22,2211,5,2013,11,4,22,2201,20,21,4,4,320,320,9,1,61,NEOG
22,2204,5,2013,20,3,22,2201,999,20,4,4,320,320,9,1,61,NEOG
16,1602,9,2013,6,2,16,1601,999,30,1,4,320,320,9,4,61,34
20,2008,8,2013,3,6,20,2001,46,35,9,4,320,320,9,2,61,52
22,2201,4,2013,20,3,22,2201,29,23,9,9,320,320,9,1,61,75
13,1325,1,2014,25,4,13,1325,34,36,9,9,320,320,9,2,61,NEOG
16,1601,2,2014,20,11,16,1613,999,23,1,4,320,320,9,1,61,NEOG
14,1412,5,2013,15,3,14,1412,17,18,1,4,320,320,9,2,61,NEOG
21,2101,11,2013,4,10,21,2101,48,999,4,9,320,320,9,9,61,NEOG
9,0912,11,2013,14,1,9,0901,40,40,1,1,320,320,9,1,61,NEOG
1,0101,1,2014,10,10,10,1013,999,999,9,9,320,320,9,1,61,NEOG
22,2202,6,2014,13,12,19,1906,36,20,9,9,320,320,9,1,61,NEOG
9,0912,5,2013,16,4,9,0912,59,49,1,1,320,320,9,1,61,NEOG
13,1315,4,2013,6,3,13,1301,41,45,1,1,320,320,9,1,61,NEOG
16,1601,1,2014,1,8,16,1609,48,24,1,1,320,320,9,2,61,NEOG
15,1504,1,2014,25,11,15,1504,33,24,1,1,320,320,9,1,61,NEOG
21,2101,3,2013,8,1,21,2101,999,999,4,4,320,320,9,1,61,NEOG
12,1218,1,2014,18,7,12,1218,999,999,4,9,320,320,9,9,61,NEOG
11,1108,12,2013,5,11,11,1108,49,47,4,9,320,320,9,1,61,NEOG
5,0501,6,2013,25,2,5,0501,48,44,4,9,320,320,9,1,61,NEOG
11,1108,2,2014,6,12,11,1108,25,20,4,4,320,320,9,1,61,NEOG
12,1212,1,2014,11,7,12,1212,30,28,9,4,320,320,9,3,61,NEOG
11,1107,7,2013,25,1,9,0901,33,24,1,1,320,320,9,1,61,NEOG
17,1701,8,2013,17,7,17,1703,55,45,4,4,320,320,9,2,61,NEOG
10,1002,3,2014,4,7,10,1002,999,19,9,4,320,320,9,3,61,NEOG
13,1302,8,2013,17,6,13,1301,999,999,9,9,320,320,9,9,61,NEOG
13,1331,10,2013,1,7,13,1312,999,999,9,9,320,320,9,9,61,NEOG
13,1301,4,2013,26,3,13,1301,27,23,9,4,320,320,9,3,61,NEOG
13,1302,5,2013,16,4,13,1312,29,27,4,4,320,320,9,4,61,NEOG
18,1802,11,2013,3,9,18,1801,26,26,4,4,320,320,9,3,61,NEOG
14,1414,10,2013,23,8,14,1401,44,40,1,1,320,320,9,4,61,23
1,0101,7,2013,3,5,1,0101,999,999,9,9,320,320,9,9,61,23
2,0202,12,2013,11,11,2,0202,40,999,9,9,320,320,9,9,61,IGNORADO
20,2001,5,2014,4,11,20,2001,34,999,9,9,320,320,9,9,61,IGNORADO
11,1102,5,2014,17,9,11,1102,24,18,9,9,320,320,9,1,61,IGNORADO
12,1201,5,2013,21,2,12,1201,999,999,9,9,320,320,9,1,61,IGNORADO
13,1301,6,2013,23,4,13,1301,999,999,9,9,320,320,9,9,61,IGNORADO
20,2001,8,2013,25,1,20,2001,999,999,9,9,320,320,9,9,61,IGNORADO
5,0501,10,2013,1,8,5,0501,39,999,9,9,320,320,9,9,61,IGNORADO
16,1609,11,2013,29,5,16,1601,33,999,1,1,320,320,9,9,61,IGNORADO
13,1301,11,2013,9,10,13,1301,35,35,1,1,320,320,9,1,61,IGNORADO
18,1804,4,2014,5,7,18,1804,999,999,4,4,320,320,9,1,61,IGNORADO
18,1801,3,2013,28,1,18,1801,55,999,4,9,320,320,9,9,61,IGNORADO
17,1712,8,2013,15,4,17,1712,47,999,4,9,320,320,9,9,61,IGNORADO
9,0915,5,2013,13,2,9,0901,35,999,4,9,320,320,9,9,61,IGNORADO
12,1201,7,2013,13,2,12,1201,999,999,9,9,320,320,9,1,61,NEOG
10,1012,10,2013,26,9,10,1001,999,999,4,4,320,320,9,1,61,NEOG
18,1801,5,2013,28,1,18,1801,55,55,4,4,320,320,9,3,61,NEOG
5,0502,3,2014,25,11,5,0502,999,999,9,9,320,320,9,9,61,NEOG
11,1107,4,2014,20,9,11,1107,999,999,9,9,320,320,9,9,61,NEOG
8,0801,12,2013,29,8,8,0801,999,999,9,9,320,320,9,1,61,NEOG
17,1702,1,2014,26,7,17,1702,49,48,9,9,320,320,9,1,61,NEOG
3,0303,3,2014,21,2,3,0303,21,18,9,9,320,320,9,1,61,NEOG
2,0207,11,2013,7,10,2,0201,999,999,9,9,320,320,9,1,61,NEOG
6,0602,10,2013,25,4,1,0101,999,999,9,9,320,320,9,1,61,NEOG
20,2010,8,2013,4,4,20,2001,999,999,9,9,320,320,9,1,61,NEOG
1,0113,10,2013,14,8,1,0101,34,999,9,9,320,320,9,9,61,NEOG
21,2101,7,2013,19,6,21,2101,999,999,9,9,320,320,9,1,61,NEOG
2,0207,3,2013,17,1,15,1501,999,999,9,9,320,320,9,1,61,NEOG
1,0101,8,2013,3,7,1,0115,69,67,9,9,320,320,9,1,61,NEOG
11,1107,3,2013,15,1,11,1101,999,42,9,9,320,320,9,2,61,NEOG
8,0801,5,2013,11,3,8,0801,37,33,9,1,320,320,9,9,61,NEOG
13,1325,11,2013,13,9,13,1325,33,32,9,9,320,320,9,1,61,NEOG
13,1325,8,2013,14,2,13,1325,32,28,9,9,320,320,9,1,61,NEOG
19,1902,6,2013,13,5,19,1901,28,24,9,9,320,320,9,1,61,NEOG
11,1107,10,2013,16,8,11,1101,22,22,9,9,320,320,9,1,61,NEOG
22,2201,9,2013,9,8,22,2201,30,21,9,9,320,320,9,1,61,NEOG
21,2101,5,2013,7,1,21,2101,48,999,1,9,320,320,9,9,61,NEOG
22,2201,1,2014,10,12,22,2201,47,49,1,4,320,320,9,1,61,NEOG
13,1325,1,2014,11,12,13,1325,41,36,1,9,320,320,9,1,61,NEOG
11,1107,3,2014,4,12,11,1107,999,999,4,4,320,320,9,1,61,NEOG
22,2201,11,2013,18,10,22,2201,81,999,4,9,320,320,9,9,61,NEOG
22,2211,8,2013,28,6,22,2201,55,999,4,9,320,320,9,9,61,NEOG
14,1418,4,2013,23,1,14,1401,50,999,4,9,320,320,9,9,61,NEOG
21,2105,1,2014,28,11,21,2105,36,34,4,4,320,320,9,2,61,NEOG
20,2003,10,2013,11,7,20,2001,30,34,4,4,320,320,9,1,61,NEOG
21,2101,9,2013,1,8,21,2101,22,21,4,4,320,320,9,1,61,NEOG
19,1906,10,2013,16,9,19,1901,999,999,9,9,320,320,9,9,61,NEOG
8,0801,10,2013,12,8,8,0801,999,999,9,9,320,320,9,1,61,NEOG
1,0101,9,2013,26,7,1,0101,38,35,9,4,320,320,9,2,61,51
22,2201,8,2013,3,7,22,2201,999,999,9,9,320,320,9,9,61,IGNORADO
18,1804,8,2013,1,8,18,1801,999,51,9,9,320,320,9,9,61,IGNORADO
13,1308,9,2013,28,2,13,1308,35,31,1,9,320,320,2,9,61,IGNORADO
17,1712,2,2014,25,4,17,1703,38,999,4,4,320,320,2,9,61,IGNORADO
5,0501,5,2013,14,3,5,0501,35,999,4,9,320,320,2,9,61,IGNORADO
19,1904,7,2013,31,5,19,1901,34,999,4,9,320,320,2,9,61,IGNORADO
22,2216,2,2013,2,1,22,2201,34,999,4,9,320,320,2,9,61,IGNORADO
21,2102,2,2014,18,11,21,2102,30,999,4,9,320,320,2,9,61,IGNORADO
1,0109,2,2014,19,12,11,1106,34,999,4,4,320,320,2,1,61,IGNORADO
22,2205,8,2013,29,7,22,2205,55,44,4,4,320,320,2,1,61,IGNORADO
22,2204,10,2013,21,8,22,2204,40,38,4,9,320,320,2,9,61,IGNORADO
1,0101,5,2013,1,3,1,0101,26,37,4,9,320,320,2,9,61,IGNORADO
20,2008,7,2013,5,4,20,2001,19,18,4,4,320,320,2,1,61,IGNORADO
9,0901,2,2014,29,11,9,0901,999,999,9,9,320,320,9,9,61,23
21,2106,4,2013,14,3,21,2101,32,20,4,4,320,320,2,4,61,23
1,0101,3,2014,17,10,1,0101,999,999,9,9,320,320,9,9,61,NEOG
1,0115,2,2014,4,10,1,0115,999,999,9,9,320,320,9,9,61,NEOG
2,0207,1,2014,24,9,2,0207,999,999,9,9,320,320,9,9,61,NEOG
2,0207,1,2014,27,12,2,0207,999,999,9,9,320,320,9,9,61,NEOG
11,1101,3,2014,28,6,1,0101,999,999,9,9,320,320,9,9,61,NEOG
13,1323,3,2014,2,12,13,1323,999,999,9,9,320,320,9,9,61,NEOG
16,1601,1,2014,18,2,16,1601,999,999,9,9,320,320,9,9,61,NEOG
17,1705,12,2013,18,11,17,1705,999,999,9,9,320,320,9,9,61,NEOG
20,2011,12,2013,12,11,20,2011,999,999,9,9,320,320,9,9,61,NEOG
1,0101,2,2014,21,10,5,0513,999,50,9,4,320,320,9,2,61,NEOG
16,1601,1,2014,10,9,16,1601,999,41,9,1,320,320,9,1,61,NEOG
1,0101,3,2013,11,1,11,1101,999,999,9,9,320,320,9,9,61,NEOG
1,0101,4,2013,11,3,22,2201,999,999,9,9,320,320,9,9,61,NEOG
1,0101,6,2013,24,1,1,0101,999,999,9,9,320,320,9,9,61,NEOG
1,0101,7,2013,20,2,1,0101,999,999,9,9,320,320,9,9,61,NEOG
1,0101,8,2013,8,5,1,0115,999,999,9,9,320,320,9,9,61,NEOG
1,0101,8,2013,19,7,1,0101,999,999,9,9,320,320,9,9,61,NEOG
1,0101,8,2013,20,5,1,0101,999,999,9,9,320,320,9,9,61,NEOG
1,0101,9,2013,2,8,1,0115,999,999,9,9,320,320,9,9,61,NEOG
1,0114,7,2013,27,5,1,0114,999,999,9,9,320,320,9,9,61,NEOG
